POINT_X,POINT_Y
2064970.388,532302.7535
2065196.771,532442.0764
2066137.494,532646.826
2066653.702,532874.3849
2078186.006,529799.0597
2073007.671,531367.6645
2077101.519,530788.121
2072993.638,533064.7638
2073052.795,534116.7637
2076835.277,534313.5251
2077524.5,530223.9046
2078720.809,530411.4108
